Year,Quarter,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2011,Q4,1455662,241857,2016763,941036,12403893,1848788,1381438,340195,468522,6166707,3156728,474002,508945,4829490,2397945,1232765,1073449,1442184,1525255,491315,1998876,2820777,3336219,2272773,842704,2163803,344438,751107,976603,521930,3186619,603263,7138100,3203611,325850,4284490,1198703,1356691,4883151,392069,1456434,324347,2216571,8729505,976667,245669,2907986,2363508,568859,2310070,212772
2012,Q1,1434247,229189,2020062,920856,12225978,1836837,1360579,331243,461197,6201833,3105320,471783,478135,4709251,2340271,1197051,1053191,1415596,1507692,464308,1961934,2749072,3236822,2193290,829701,2106837,329640,738826,962264,510878,3106357,590221,6980818,3142509,320366,4186326,1183823,1308549,4775602,374035,1430653,313152,2179258,8679524,962668,242611,2851125,2260293,557572,2234819,201997
2013,Q1,1450194,232329,2070717,920769,12636516,1891544,1371268,338071,473499,6362382,3184615,485836,488411,4764851,2382394,1216916,1062870,1438004,1537358,464032,1987537,2791160,3322476,2238008,837978,2134150,337255,751683,983660,516964,3137524,600256,7090802,3202470,338992,4246455,1205703,1336130,4796333,378226,1455306,318018,2224431,8976800,1000855,243834,2890025,2324688,553860,2260976,202617
2014,Q1,1469837,236003,2129787,924694,13056078,1964464,1386108,346379,484968,6575435,3290749,496112,510622,4823627,2415206,1238301,1082894,1462548,1572487,467587,1997174,2839868,3392798,2274603,853873,2158882,342226,765018,1018609,525121,3170578,605699,7240545,3276775,352435,4317652,1228163,1382585,4834053,384634,1498917,324186,2279253,9295033,1036881,246172,2901379,2402013,549522,2293191,206251
2015,Q1,1495954,239948,2194673,946348,13437893,2047344,1402581,358156,495384,6852484,3412963,505739,524690,4902270,2478461,1257749,1100923,1500550,1610137,474123,2027035,2909018,3476766,2313333,858980,2211780,349116,775256,1066424,534161,3207493,618710,7419481,3376935,368104,4397605,1259167,1434068,4900376,393301,1545541,328755,2345758,9671249,1078234,250143,2947092,2468894,552649,2334239,221669
2016,Q1,1526670,237274,2260749,964850,13889584,2097002,1406013,364915,507892,7123148,3523744,516259,566268,4981748,2532042,1266532,1109189,1531061,1593616,482440,2074787,2972811,3554309,2355231,877082,2257620,355572,786682,1097730,546966,3279840,620689,7558031,3477675,337545,4471085,1240939,1484967,4953955,398974,1593549,332650,2420044,9746993,1121701,249419,3021570,2540756,540261,2375656,221669
