Year,Quarter,UnderHighschool,Highschool,Associate,Bachelors,Underage
2011,Q3,275769,837858,924197,748832,513225
2012,Q1,270864,827018,920236,757200,461504
2013,Q1,287285,849539,939423,766745,479485
2014,Q1,304007,867745,955232,775544,490271
2015,Q1,325142,892851,973607,777993,507174
2016,Q1,344485,915154,992787,787843,514040
