Year,Quarter,14-18,19-21,22-24,25-34,35-44,45-54,55-64,65-99
2011,Q4,73930,191289,218513,696810,711659,811871,509492,122656
2012,Q1,68054,180385,213065,677498,691052,788155,500715,117899
2013,Q1,71835,181092,226558,700914,695758,787626,530110,128584
2014,Q1,71856,180505,237910,724551,701907,785097,554618,136354
2015,Q1,81339,184149,241687,750759,704785,787187,580016,146845
2016,Q1,88814,184939,240287,775626,709013,790716,605243,159672
