Year,Quarter,0-19 Employees,20-49 Employees,50-249 Employees,250-499 Employees,500+ Employees
2011,Q3,717329,351070,542389,192346,1496747
2012,Q1,611801,331655,529993,196709,1566664
2013,Q1,615760,344633,544143,202064,1615875
2014,Q1,617120,342341,554928,210613,1667797
2015,Q1,627015,355104,564586,222373,1707689
2016,Q1,657587,379013,629916,238703,1649089
